OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,AreaType,AttractionType,AttractionSubType,Charge,ChargeBand,AttractionName,Year,Visitors,Estimated
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,Urban ,Historic Properties,Historic House / House and Garden / Palace,Paid,�5.00 to �7.49,Lincoln Medieval Bishops' Palace,2017,25335,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,Urban ,Museums & Art Galleries,Museum and / or Art Gallery,Free,Free,Museum Of Lincolnshire Life,2017,72831,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,Urban ,Museums & Art Galleries,Museum and / or Art Gallery,Free,Free,The Collection,2017,97354,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,Urban ,Museums & Art Galleries,Museum and / or Art Gallery,Free,Free,Usher Gallery,2017,23763,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,Rural,Historic Properties,Castle / Fort,Free,Free,Bolingbroke Castle,2017,3000,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,Rural,Historic Properties,Other Historic Property,Free,Free,Dogdyke Pumping Station,2017,1251,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,Rural ,Museums & Art Galleries,Museum and / or Art Gallery,Paid,�3.00 and under,Heckington Village Trust Railway & Heritage Museum,2017,350,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,Rural ,Visitor Centre,Heritage / Visitor Centre,Free,Free,Navigation House,2017,4496,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,Rural ,Museums & Art Galleries,Museum and / or Art Gallery,Paid,�3.00 and under,North Ings Farm Museum,2017,130,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,Rural,Museums & Art Galleries,Museum and / or Art Gallery,Free,Free,Ayscoughfee Hall Museum And Gardens,2017,21500,E
