OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,AreaType,AttractionType,AttractionSubType,Charge,ChargeBand,AttractionName,Year,Visitors,Estimated
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,Rural,Historic Properties,Other Historic Property,Free,Free,Hussey Tower,2018,1700,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Coastal ,Museums & Art Galleries,Museum and /or Art Gallery,Paid,�5.00 to �7.49,Church Farm Museum,2018,19000,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Rural ,Historic Properties,Historic House / House and Garden / Palace,Paid,�7.50 to �9.99,Gunby Hall,2018,38180,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Coastal ,Railways,Steam / Heritage Railway,Paid,�3.00 and under,Lincolnshire Coast Light Railway,2018,2200,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Rural ,Railways,Steam / Heritage Railway,Paid,�7.50 to �9.99,Lincolnshire Wolds Railway,2018,18000,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Rural ,Museums & Art Galleries,Museum and / or Art Gallery,Paid,�3.01 to �4.99,Louth Museum,2018,2500,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Coastal ,Wildlife,Safari Park / Zoo / Aquarium / Aviary,Paid,�7.50 to �9.99,Skegness Natureland Seal Sanctuary,2018,92729,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Rural ,Historic Properties,Castle / Fort,Paid,�5.00 to �7.49,Tattershall Castle,2018,59741,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,Rural ,Historic Properties,Other Historic Property,Free,Free,Tupholme Abbey,2018,1000,E
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-15T00:00:00,2018-01-01T00:00:00,2018-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,Urban ,Historic Properties,Historic House / House and Garden / Palace,Paid,�5.00 to �7.49,Lincoln Medieval Bishops' Palace,2018,9793,
